year,month,day,obs_time,SO2,NO2,PM10,PM25,CO2,O3
2010,6,17,18,99999,9,99999,99999,99999,99999
2010,6,17,19,99999,13,99999,99999,99999,99999
2010,6,17,20,99999,11,99999,99999,99999,99999
2010,6,17,21,99999,18,99999,99999,99999,99999
2010,6,17,22,99999,20,99999,99999,99999,99999
2010,6,17,23,99999,11,99999,99999,99999,99999
2010,6,18,0,99999,10,99999,99999,99999,99999
2010,6,18,1,99999,15,99999,99999,99999,99999
2010,6,18,2,99999,22,99999,99999,99999,99999
2010,6,18,3,99999,16,99999,99999,99999,99999
2010,6,18,4,99999,11,99999,99999,99999,99999
2010,6,18,5,99999,11,99999,99999,99999,99999
2010,6,18,6,99999,13,99999,99999,99999,99999
2010,6,18,7,99999,10,99999,99999,99999,99999
2010,6,18,8,99999,8,99999,99999,99999,99999
2010,6,18,9,99999,7,99999,99999,99999,99999
2010,6,18,10,99999,8,99999,99999,99999,99999
2010,6,18,11,99999,12,99999,99999,99999,99999
2010,6,18,12,99999,16,99999,99999,99999,99999
2010,6,18,13,99999,9,99999,99999,99999,99999
2010,6,18,14,99999,9,99999,99999,99999,99999
2010,6,18,15,99999,9,99999,99999,99999,99999
2010,6,18,16,99999,9,99999,99999,99999,99999
2010,6,18,17,99999,9,99999,99999,99999,99999
2010,6,18,18,99999,7,99999,99999,99999,99999
2010,6,18,19,99999,99999,99999,99999,99999,99999
2010,6,18,20,99999,99999,99999,99999,99999,99999
2010,6,18,21,99999,12,99999,99999,99999,99999
2010,6,18,22,99999,12,99999,99999,99999,99999
2010,6,18,23,99999,11,99999,99999,99999,99999
2010,6,19,0,99999,16,99999,99999,99999,99999
2010,6,19,1,99999,9,99999,99999,99999,99999
2010,6,19,2,99999,9,99999,99999,99999,99999
2010,6,19,3,99999,6,99999,99999,99999,99999
2010,6,19,4,99999,12,99999,99999,99999,99999
2010,6,19,5,99999,12,99999,99999,99999,99999
2010,6,19,6,99999,18,99999,99999,99999,99999
2010,6,19,7,99999,23,99999,99999,99999,99999
2010,6,19,8,99999,15,99999,99999,99999,99999
2010,6,19,9,99999,8,99999,99999,99999,99999
2010,6,19,10,99999,8,99999,99999,99999,99999
2010,6,19,11,99999,10,99999,99999,99999,99999
2010,6,19,12,99999,18,99999,99999,99999,99999
2010,6,19,13,99999,11,99999,99999,99999,99999
2010,6,19,14,99999,7,99999,99999,99999,99999
2010,6,19,15,99999,9,99999,99999,99999,99999
2010,6,19,16,99999,9,99999,99999,99999,99999
2010,6,19,17,99999,7,99999,99999,99999,99999
2010,6,19,18,99999,5,99999,99999,99999,99999
2010,6,19,19,99999,5,99999,99999,99999,99999
2010,6,19,20,99999,6,99999,99999,99999,99999
2010,6,19,21,99999,18,99999,99999,99999,99999
2010,6,19,22,99999,24,99999,99999,99999,99999
2010,6,19,23,99999,36,99999,99999,99999,99999
2010,6,20,0,99999,9,99999,99999,99999,99999
2010,6,20,1,99999,13,99999,99999,99999,99999
2010,6,20,2,99999,21,99999,99999,99999,99999
2010,6,20,3,99999,31,99999,99999,99999,99999
2010,6,20,4,99999,16,99999,99999,99999,99999
2010,6,20,5,99999,14,99999,99999,99999,99999
2010,6,20,6,99999,29,99999,99999,99999,99999
2010,6,20,7,99999,15,99999,99999,99999,99999
2010,6,20,8,99999,10,99999,99999,99999,99999
2010,6,20,9,99999,7,99999,99999,99999,99999
2010,6,20,10,99999,6,99999,99999,99999,99999
2010,6,20,11,99999,5,99999,99999,99999,99999
2010,6,20,12,99999,5,99999,99999,99999,99999
2010,6,20,13,99999,9,99999,99999,99999,99999
2010,6,20,14,99999,13,99999,99999,99999,99999
2010,6,20,15,99999,7,99999,99999,99999,99999
2010,6,20,16,99999,12,99999,99999,99999,99999
2010,6,20,17,99999,12,99999,99999,99999,99999
2010,6,20,18,99999,9,99999,99999,99999,99999
2010,6,20,19,99999,10,99999,99999,99999,99999
2010,6,20,20,99999,6,99999,99999,99999,99999
2010,6,20,21,99999,13,99999,99999,99999,99999
2010,6,20,22,99999,10,99999,99999,99999,99999
2010,6,20,23,99999,19,99999,99999,99999,99999
2010,6,21,0,99999,20,99999,99999,99999,99999
2010,6,21,1,99999,31,99999,99999,99999,99999
2010,6,21,2,99999,30,99999,99999,99999,99999
2010,6,21,3,99999,27,99999,99999,99999,99999
2010,6,21,4,99999,13,99999,99999,99999,99999
2010,6,21,5,99999,16,99999,99999,99999,99999
2010,6,21,6,99999,14,99999,99999,99999,99999
2010,6,21,7,99999,8,99999,99999,99999,99999
2010,6,21,8,99999,10,99999,99999,99999,99999
2010,6,21,9,99999,11,99999,99999,99999,99999
2010,6,21,10,99999,12,99999,99999,99999,99999
2010,6,21,11,99999,18,99999,99999,99999,99999
2010,6,21,12,99999,10,99999,99999,99999,99999
2010,6,21,13,99999,7,99999,99999,99999,99999
2010,6,21,14,99999,99999,99999,99999,99999,99999
2010,6,21,15,99999,13,99999,99999,99999,99999
2010,6,21,16,99999,11,99999,99999,99999,99999
2010,6,21,17,99999,13,99999,99999,99999,99999
2010,6,21,18,99999,14,99999,99999,99999,99999
2010,6,21,19,99999,10,99999,99999,99999,99999
2010,6,21,20,99999,14,99999,99999,99999,99999
2010,6,21,21,99999,21,99999,99999,99999,99999
2010,6,21,22,99999,20,99999,99999,99999,99999
2010,6,21,23,99999,57,99999,99999,99999,99999
2010,6,22,0,99999,40,99999,99999,99999,99999
2010,6,22,1,99999,25,99999,99999,99999,99999
